picture_height,payment_MLATB,condition,sold_quantity,available_quantity,automatic_relist,title_length,picture_width,listing_type_id,payment_MLAOT,shipping_mode_binary
374.0,0,0,0,1,0,55,500.0,free,0,1
500.0,0,0,0,1,0,39,375.0,bronze,0,1
500.0,0,0,0,1,0,16,375.0,bronze,0,0
500.0,0,0,0,1,0,33,375.0,free,0,1
500.0,1,1,0,1,0,23,500.0,bronze,1,1
500.0,0,1,0,100,0,60,346.0,bronze,0,0
448.0,0,0,0,1,0,45,336.0,bronze,0,1
500.0,0,0,0,1,0,43,281.0,bronze,0,0
500.0,1,0,0,1,0,57,375.0,bronze,1,1
171.0,1,1,0,2,0,59,169.0,bronze,1,0
375.0,1,1,83,1,0,27,500.0,silver,0,1
375.0,1,0,0,1,0,40,500.0,bronze,1,0
500.0,0,0,0,1,0,53,374.0,free,0,1
305.0,0,1,1,1,0,44,500.0,bronze,0,1
375.0,1,0,0,1,0,54,500.0,free,1,1
250.0,1,1,0,55,0,46,250.0,bronze,1,0
281.0,0,0,0,1,0,56,500.0,silver,0,0
406.0,0,1,3,1,0,60,500.0,gold,0,0
185.0,0,1,0,1,0,41,117.0,bronze,1,1
375.0,0,0,0,1,0,36,500.0,free,0,0
287.0,0,1,0,1,0,25,200.0,bronze,0,1
375.0,0,1,0,1,0,40,500.0,silver,0,0
500.0,0,0,0,1,0,38,375.0,bronze,0,0
310.0,0,1,0,999,0,48,210.0,bronze,0,0
500.0,0,1,0,1,0,31,375.0,bronze,0,0
500.0,1,0,0,1,0,58,357.0,bronze,0,1
280.0,0,0,0,1,0,27,500.0,bronze,0,0
397.0,1,1,34,266,1,55,500.0,gold_special,1,1
375.0,0,0,1,1,0,60,500.0,free,0,1
279.0,1,0,0,1,0,32,500.0,free,0,0
185.0,0,1,0,5,0,49,500.0,bronze,0,0
375.0,0,1,0,500,0,41,500.0,bronze,0,1
462.0,1,1,2,1,0,58,500.0,silver,1,0
132.0,0,1,3,6,0,45,194.0,bronze,0,1
500.0,0,1,0,100,0,15,418.0,bronze,0,1
500.0,1,0,0,1,0,56,375.0,bronze,0,1
500.0,0,1,0,1,0,16,281.0,bronze,0,1
500.0,0,0,0,1,0,26,375.0,bronze,0,1
375.0,0,0,0,1,0,38,500.0,bronze,0,0
500.0,1,0,0,1,0,49,330.0,free,0,1
500.0,1,0,0,1,0,56,349.0,bronze,0,0
500.0,0,1,0,1,0,59,281.0,bronze,0,1
500.0,0,1,0,10,0,31,333.0,bronze,0,0
500.0,1,0,0,1,0,60,353.0,free,1,0
375.0,1,0,0,1,0,55,500.0,bronze,0,0
500.0,1,0,0,1,0,59,332.0,free,1,1
500.0,0,0,0,1,0,58,375.0,bronze,0,0
375.0,0,1,0,1,0,46,500.0,free,0,0
500.0,1,1,0,1,0,59,316.0,bronze,0,1
500.0,1,0,0,1,0,59,349.0,bronze,1,1
500.0,0,1,0,10,0,59,345.0,bronze,0,0
500.0,1,1,0,1,0,56,375.0,bronze,0,1
434.0,0,1,14,3,1,60,500.0,gold_premium,0,0
500.0,1,0,0,1,0,55,375.0,free,0,1
499.0,1,1,28,979,1,60,498.0,gold,1,1
450.0,1,0,0,1,0,43,450.0,free,0,0
250.0,1,1,0,6,0,58,250.0,bronze,0,1
300.0,0,1,0,1,1,60,300.0,gold,0,0
500.0,1,1,0,2,0,54,500.0,bronze,1,0
500.0,1,1,0,2,0,58,424.0,bronze,0,0
332.0,0,0,0,1,0,31,500.0,free,0,0
500.0,0,0,0,1,0,60,375.0,bronze,0,1
269.0,1,1,0,100,0,48,500.0,bronze,0,0
331.0,1,1,0,50,0,59,500.0,bronze,1,1
500.0,0,1,0,1,0,58,319.0,bronze,0,0
375.0,0,0,0,1,0,33,500.0,bronze,0,0
374.0,0,1,0,1,0,48,499.0,bronze,0,1
386.0,0,0,0,1,0,31,499.0,free,0,1
500.0,0,1,0,1,0,36,347.0,bronze,1,0
352.0,0,1,0,1,0,42,500.0,bronze,0,1
500.0,1,1,5,1,0,58,375.0,bronze,1,0
399.0,1,1,4,994,0,51,300.0,bronze,0,1
375.0,0,1,0,1,0,59,500.0,bronze,0,0
375.0,0,1,2,1,0,28,500.0,silver,0,0
500.0,0,0,0,1,0,23,375.0,bronze,0,0
375.0,1,1,0,6,0,46,500.0,bronze,1,0
500.0,0,1,0,15,0,36,271.0,bronze,0,0
280.0,0,1,3,5,0,48,500.0,bronze,0,1
370.0,0,1,0,997,0,60,450.0,bronze,0,1
500.0,0,0,0,1,0,33,375.0,free,0,0
500.0,1,0,0,1,0,56,375.0,bronze,1,0
375.0,1,0,0,1,0,50,500.0,free,0,1
375.0,0,0,0,50,0,52,500.0,free,0,0
275.0,1,1,1,2,0,42,183.0,bronze,1,1
299.0,1,1,0,1,0,40,500.0,bronze,0,1
379.0,1,1,0,1,0,40,429.0,bronze,1,0
500.0,1,1,0,1,0,19,375.0,bronze,1,1
500.0,1,1,17,6,0,59,500.0,gold_premium,1,1
243.0,0,1,0,50,0,48,500.0,gold,0,1
500.0,1,1,23,1,0,54,500.0,silver,0,0
500.0,0,1,0,80,0,53,370.0,bronze,0,1
500.0,0,1,0,80,0,53,370.0,bronze,0,1
500.0,0,1,0,80,0,53,370.0,bronze,0,1
500.0,0,1,0,80,0,53,370.0,bronze,0,1
305.0,0,1,0,1,0,54,500.0,free,0,1
400.0,1,1,259,13,0,59,500.0,gold,0,1
500.0,1,1,1,1,0,58,464.0,bronze,0,1
375.0,1,1,0,1,0,30,500.0,bronze,0,0
375.0,0,0,1,1,0,60,500.0,free,0,0
500.0,0,0,0,1,0,11,300.0,free,0,0
375.0,0,0,0,1,0,12,500.0,bronze,0,0
281.0,0,0,0,1,0,24,500.0,bronze,0,1
500.0,1,0,0,1,0,57,375.0,bronze,1,1
500.0,1,1,0,3,0,41,500.0,bronze,1,1
500.0,1,1,23,27,0,36,152.0,silver,1,0
375.0,0,0,0,1,0,16,500.0,free,0,0
336.0,1,1,7,1,0,59,388.0,silver,0,0
500.0,1,1,9,14,0,59,500.0,silver,1,1
500.0,0,0,0,1,0,53,375.0,free,0,1
175.0,1,1,0,5,0,27,500.0,bronze,1,1
410.0,1,1,5,1,0,60,410.0,silver,1,1
500.0,1,0,0,2,0,51,375.0,bronze,0,1
232.0,0,1,0,1,0,42,160.0,free,0,1
206.0,1,1,6,1,0,54,244.0,bronze,1,1
282.0,1,0,0,1,0,31,500.0,bronze,1,1
500.0,1,1,0,2,1,55,500.0,gold_special,1,1
500.0,0,0,0,1,0,28,280.0,gold,0,0
500.0,0,1,0,2,0,26,375.0,bronze,0,1
500.0,0,0,0,1,0,34,353.0,bronze,0,0
366.0,1,1,0,10,0,57,500.0,bronze,1,0
500.0,0,0,0,1,0,53,280.0,free,0,0
250.0,1,1,0,1,0,49,250.0,bronze,0,0
375.0,1,0,0,1,0,48,500.0,bronze,0,0
500.0,1,1,21,3,0,42,500.0,silver,1,1
281.0,0,0,0,1,0,30,500.0,free,0,0
375.0,1,1,2,1,0,59,500.0,silver,1,1
375.0,1,1,2,1,0,59,500.0,silver,1,1
375.0,1,1,2,1,0,59,500.0,silver,1,1
500.0,1,0,0,1,0,37,338.0,bronze,0,1
500.0,1,1,0,2,0,47,342.0,bronze,1,1
375.0,1,0,0,1,0,41,500.0,bronze,0,1
375.0,0,1,0,1,0,57,500.0,bronze,0,0
500.0,1,0,0,1,0,19,293.0,free,1,1
375.0,0,0,0,1,0,60,500.0,free,0,0
500.0,0,0,0,1,0,26,281.0,free,0,0
249.0,1,1,0,2,0,58,500.0,bronze,1,1
375.0,1,0,0,1,0,43,500.0,bronze,0,0
500.0,0,1,0,1,0,54,375.0,bronze,0,0
391.0,1,1,1,8,0,58,500.0,bronze,0,0
438.0,1,1,2,98,0,45,500.0,bronze,1,0
282.0,1,0,0,1,0,53,500.0,bronze,0,0
500.0,1,0,0,1,0,58,410.0,free,0,1
500.0,1,0,0,1,0,38,373.0,bronze,0,0
333.0,1,0,0,1,0,24,500.0,bronze,0,0
500.0,1,1,10,6,0,60,329.0,gold_premium,1,1
314.0,1,1,0,1,0,52,221.0,silver,0,0
500.0,0,1,0,1,0,58,375.0,free,0,0
500.0,1,0,1,1,0,60,316.0,bronze,0,0
500.0,0,0,0,1,0,22,280.0,free,0,0
500.0,0,0,0,1,0,47,344.0,bronze,0,0
500.0,0,1,0,1,0,30,375.0,bronze,0,1
180.0,0,0,0,1,0,44,110.0,bronze,0,1
500.0,1,1,0,1,0,60,334.0,bronze,0,1
500.0,0,0,0,1,0,26,370.0,bronze,0,1
128.0,0,1,0,9,0,34,500.0,bronze,0,0
375.0,0,0,0,1,0,36,500.0,bronze,0,0
310.0,1,1,0,2,0,27,350.0,bronze,1,1
375.0,1,0,0,1,0,37,500.0,free,1,0
473.0,0,1,0,1,0,30,400.0,bronze,0,1
390.0,1,1,0,2,0,48,500.0,bronze,0,1
500.0,1,1,0,1,0,57,500.0,bronze,1,0
375.0,0,0,0,1,0,50,500.0,bronze,0,0
265.0,1,0,0,1,0,30,500.0,bronze,0,0
373.0,1,1,0,4,0,45,500.0,bronze,0,0
373.0,1,1,0,4,0,45,500.0,bronze,0,0
373.0,1,1,0,4,0,45,500.0,bronze,0,0
373.0,1,1,0,4,0,45,500.0,bronze,0,0
500.0,1,1,0,10,0,47,478.0,bronze,1,0
500.0,1,0,0,1,0,14,375.0,bronze,0,0
500.0,0,0,0,1,0,57,374.0,free,0,0
500.0,0,1,0,1,0,60,500.0,bronze,1,0
500.0,0,0,0,1,0,56,500.0,bronze,0,0
500.0,1,0,0,1,0,58,385.0,bronze,0,1
160.0,0,1,0,1,0,40,340.0,bronze,0,0
375.0,1,0,0,1,0,57,500.0,bronze,1,1
250.0,1,1,63,10,0,59,250.0,gold,1,1
375.0,1,0,0,1,0,25,500.0,bronze,1,1
500.0,0,1,4,1,0,38,375.0,silver,1,1
500.0,0,0,0,1,0,11,281.0,free,0,0
500.0,0,1,0,20,0,42,333.0,bronze,0,0
375.0,1,1,0,1,0,55,500.0,bronze,1,1
281.0,0,1,0,1,0,59,500.0,free,0,0
279.0,0,0,0,1,0,35,500.0,bronze,0,1
168.0,0,1,0,1,0,54,300.0,silver,0,0
500.0,0,0,0,1,0,50,375.0,bronze,0,1
344.0,1,1,0,1,0,50,500.0,bronze,1,0
375.0,1,0,0,1,0,56,500.0,bronze,0,0
500.0,1,1,0,1,0,56,333.0,bronze,0,1
375.0,1,1,0,1,0,56,500.0,bronze,1,0
500.0,1,1,1,1,0,30,296.0,bronze,0,1
500.0,0,0,0,1,0,54,327.0,bronze,0,0
500.0,0,0,0,1,0,39,281.0,free,0,1
500.0,1,0,0,1,0,47,375.0,free,0,0
500.0,1,1,0,1,0,58,393.0,bronze,0,0
435.0,1,1,1,1,0,52,500.0,silver,0,0
500.0,0,0,0,1,0,60,281.0,free,0,0
500.0,0,0,0,1,0,19,375.0,free,0,0
500.0,0,0,0,1,0,23,375.0,free,0,0
346.0,0,1,0,1,0,46,236.0,bronze,0,1
500.0,1,1,56,3,0,46,500.0,gold,1,1
375.0,1,0,1,1,0,58,500.0,bronze,0,0
375.0,1,1,7,21,0,54,500.0,bronze,1,1
375.0,1,1,7,21,0,54,500.0,bronze,1,1
375.0,1,1,7,21,0,54,500.0,bronze,1,1
375.0,1,1,7,21,0,54,500.0,bronze,1,1
375.0,1,1,7,21,0,54,500.0,bronze,1,1
375.0,1,1,7,21,0,54,500.0,bronze,1,1
375.0,1,1,7,21,0,54,500.0,bronze,1,1
500.0,0,0,0,1,0,45,359.0,bronze,0,1
309.0,1,1,1,19,0,23,206.0,bronze,1,1
500.0,0,0,0,1,0,42,500.0,free,0,1
375.0,1,1,1,1,0,34,500.0,gold,0,0
375.0,0,0,0,1,0,49,500.0,bronze,0,0
280.0,0,0,1,1,0,34,500.0,bronze,0,1
375.0,0,1,5,5,0,49,500.0,bronze,0,1
254.0,0,1,0,100,0,44,387.0,bronze,0,1
375.0,1,0,0,1,0,28,500.0,bronze,0,0
500.0,1,1,0,8,1,39,500.0,gold_special,1,0
500.0,1,1,0,3,0,57,500.0,bronze,0,0
377.0,1,1,0,10,0,60,500.0,bronze,0,1
317.0,0,1,0,1,0,27,422.0,bronze,0,0
500.0,0,0,0,1,0,22,375.0,free,0,0
375.0,0,1,1,119,0,49,500.0,bronze,0,1
375.0,0,1,1,119,0,49,500.0,bronze,0,1
375.0,0,1,1,119,0,49,500.0,bronze,0,1
375.0,0,1,1,119,0,49,500.0,bronze,0,1
375.0,0,1,1,119,0,49,500.0,bronze,0,1
375.0,0,1,1,119,0,49,500.0,bronze,0,1
375.0,0,1,1,119,0,49,500.0,bronze,0,1
375.0,0,1,1,119,0,49,500.0,bronze,0,1
375.0,0,1,1,119,0,49,500.0,bronze,0,1
375.0,0,1,1,119,0,49,500.0,bronze,0,1
375.0,0,1,1,119,0,49,500.0,bronze,0,1
375.0,0,1,1,119,0,49,500.0,bronze,0,1
500.0,0,0,0,1,0,31,375.0,bronze,0,0
374.0,0,0,0,1,0,45,500.0,bronze,0,0
375.0,1,1,0,1,0,50,500.0,bronze,0,0
500.0,1,1,0,2,0,30,281.0,bronze,1,1
375.0,1,1,0,1,0,59,500.0,bronze,0,1
500.0,1,0,0,1,0,59,398.0,free,0,1
500.0,1,1,0,2,0,54,401.0,silver,1,1
500.0,0,1,0,1,0,43,346.0,bronze,0,0
500.0,0,1,0,1,0,29,371.0,bronze,0,0
375.0,0,0,0,1,0,21,500.0,free,0,0
500.0,0,0,0,1,0,48,375.0,bronze,0,0
96.0,1,1,0,1,0,32,240.0,bronze,0,0
500.0,0,0,1,1,0,55,332.0,free,0,1
338.0,0,0,0,1,0,42,500.0,gold_premium,0,0
500.0,0,1,2,248,0,30,280.0,bronze,0,1
375.0,0,0,0,1,0,53,500.0,bronze,0,0
500.0,1,0,0,1,0,37,375.0,free,0,1
500.0,0,1,0,999,0,46,329.0,bronze,0,0
500.0,1,0,0,1,0,31,375.0,free,1,0
500.0,1,1,5,2,0,60,417.0,bronze,0,1
500.0,0,0,0,1,0,45,375.0,bronze,0,0
200.0,1,1,14,3,0,60,240.0,silver,0,1
375.0,0,0,0,1,0,34,500.0,bronze,0,0
500.0,1,1,2,12,0,54,417.0,bronze,0,1
333.0,0,0,0,1,0,17,500.0,free,0,1
374.0,1,1,0,1,0,59,500.0,bronze,0,1
375.0,0,0,0,1,0,31,500.0,bronze,0,0
280.0,0,1,2,199,0,59,280.0,bronze,0,0
333.0,1,1,2,8,1,54,500.0,gold_special,1,0
500.0,0,0,0,1,0,43,280.0,free,0,0
289.0,0,1,0,100,0,59,500.0,bronze,0,0
500.0,1,1,2,4,0,42,500.0,bronze,0,1
500.0,1,0,0,1,0,51,367.0,bronze,1,0
281.0,0,0,0,1,0,48,500.0,free,0,0
500.0,0,0,0,1,0,53,375.0,bronze,0,0
500.0,1,1,0,2,0,57,500.0,bronze,1,0
494.0,1,1,0,1,0,42,500.0,bronze,1,1
500.0,1,0,0,1,0,58,357.0,bronze,0,0
252.0,1,1,1,1,0,40,500.0,bronze,0,0
375.0,0,0,1,1,0,52,500.0,free,0,0
500.0,1,1,0,999,0,36,375.0,bronze,1,0
332.0,1,0,0,1,0,49,500.0,free,0,0
500.0,1,1,1,1,0,42,433.0,silver,0,0
500.0,1,0,0,1,0,59,375.0,free,0,1
500.0,1,0,0,1,0,59,254.0,bronze,0,1
455.0,1,1,0,6,0,43,500.0,bronze,0,0
366.0,1,1,4,1,0,21,500.0,silver,1,0
356.0,1,1,0,999,0,46,459.0,bronze,0,1
373.0,1,0,0,1,0,44,500.0,bronze,0,1
500.0,1,0,0,1,0,60,375.0,bronze,1,1
500.0,1,0,1,1,0,30,375.0,bronze,0,1
281.0,0,0,0,1,0,46,500.0,bronze,0,0
375.0,0,1,1,199,0,48,500.0,bronze,0,1
210.0,0,1,0,3,0,40,320.0,bronze,0,1
499.0,1,1,2,997,0,58,375.0,bronze,0,1
497.0,1,1,2,1,0,50,500.0,bronze,1,1
375.0,1,1,5,1,0,57,500.0,silver,1,1
375.0,0,1,1,1,0,35,500.0,bronze,0,0
500.0,1,1,0,10,1,56,500.0,gold_special,1,1
500.0,1,0,0,1,0,58,281.0,free,0,1
500.0,0,0,0,1,0,29,375.0,free,0,0
500.0,1,0,0,1,0,34,375.0,bronze,1,1
500.0,0,1,0,1,0,58,375.0,free,0,0
252.0,1,1,1,10,0,53,170.0,bronze,1,0
384.0,1,1,315,684,1,58,500.0,gold,0,0
288.0,0,1,0,1,0,44,288.0,bronze,0,1
375.0,1,1,0,2,0,49,500.0,bronze,0,0
170.0,0,1,2,999,1,50,349.0,gold_special,0,0
500.0,1,1,1,1,0,59,500.0,bronze,1,1
375.0,0,0,0,1,0,31,500.0,free,0,0
322.0,0,0,0,1,0,58,499.0,bronze,0,0
500.0,0,0,1,1,0,39,473.0,free,0,0
280.0,1,0,0,1,0,50,500.0,free,0,0
400.0,0,0,0,1,0,40,263.0,bronze,0,1
326.0,0,0,0,1,0,56,500.0,bronze,0,1
225.0,0,1,0,1,0,59,225.0,bronze,0,1
500.0,1,0,0,1,0,60,375.0,bronze,1,1
375.0,0,0,0,1,0,12,500.0,free,0,0
500.0,1,0,0,1,0,58,338.0,bronze,0,1
333.0,1,1,0,1,1,48,500.0,gold_special,1,1
500.0,1,1,0,1,0,31,279.0,bronze,1,1
312.0,1,0,0,1,0,54,500.0,bronze,0,1
500.0,0,0,0,1,0,33,375.0,free,0,0
500.0,0,0,0,1,0,34,281.0,free,0,0
375.0,0,1,0,1,0,47,500.0,bronze,0,0
375.0,1,0,0,1,0,56,500.0,bronze,0,1
500.0,1,1,12,188,0,59,500.0,gold_premium,1,1
500.0,1,1,12,188,0,59,500.0,gold_premium,1,1
500.0,1,1,12,188,0,59,500.0,gold_premium,1,1
500.0,1,1,12,188,0,59,500.0,gold_premium,1,1
375.0,1,1,2,2,0,44,499.0,bronze,0,0
500.0,1,1,0,1,0,60,500.0,silver,1,1
375.0,0,0,0,1,0,33,500.0,free,0,0
500.0,0,1,0,1,0,59,492.0,silver,0,0
500.0,0,0,0,1,0,29,281.0,bronze,0,0
375.0,0,0,0,1,0,58,500.0,free,0,1
500.0,1,1,0,2,1,40,500.0,gold_special,1,1
375.0,0,0,0,1,0,24,500.0,free,0,1
333.0,1,1,0,1,0,44,500.0,bronze,0,1
259.0,0,0,0,1,0,44,175.0,free,0,1
375.0,1,1,0,1,0,41,500.0,bronze,1,1
380.0,1,1,0,1,0,60,253.0,silver,0,1
500.0,0,1,0,1,0,33,374.0,bronze,0,1
494.0,1,0,0,1,0,54,500.0,free,0,0
375.0,0,0,0,1,0,49,500.0,bronze,0,0
375.0,1,0,0,1,0,46,500.0,bronze,1,1
500.0,0,1,0,1,0,44,303.0,bronze,0,0
500.0,1,0,0,4,0,50,311.0,bronze,0,1
375.0,1,1,1,9,0,15,500.0,bronze,1,1
332.0,0,1,0,60,0,58,500.0,silver,0,1
332.0,0,1,0,60,0,58,500.0,silver,0,1
332.0,0,1,0,60,0,58,500.0,silver,0,1
332.0,0,1,0,60,0,58,500.0,silver,0,1
332.0,0,1,0,60,0,58,500.0,silver,0,1
332.0,0,1,0,60,0,58,500.0,silver,0,1
332.0,0,1,0,60,0,58,500.0,silver,0,1
332.0,0,1,0,60,0,58,500.0,silver,0,1
332.0,0,1,0,60,0,58,500.0,silver,0,1
332.0,0,1,0,60,0,58,500.0,silver,0,1
332.0,0,1,0,60,0,58,500.0,silver,0,1
332.0,0,1,0,60,0,58,500.0,silver,0,1
500.0,0,1,0,1,0,36,280.0,free,0,0
375.0,1,0,0,1,0,59,500.0,bronze,0,0
500.0,0,1,0,20,0,55,375.0,bronze,0,0
375.0,1,0,0,1,0,60,500.0,free,0,0
500.0,1,0,0,1,0,29,281.0,bronze,0,1
374.0,1,0,0,1,0,46,500.0,free,0,1
500.0,0,0,0,1,0,36,375.0,bronze,0,1
422.0,1,1,0,5,0,33,460.0,bronze,1,0
375.0,0,0,0,1,0,51,500.0,free,0,0
375.0,0,0,0,1,0,57,500.0,free,0,0
217.0,0,0,0,1,0,27,143.0,bronze,0,1
500.0,0,0,0,1,0,32,368.0,bronze,0,1
257.0,1,1,0,2,0,58,500.0,bronze,1,0
500.0,0,1,0,1,0,53,500.0,bronze,0,1
281.0,0,0,0,1,0,60,500.0,free,0,0
373.0,1,1,0,4,0,45,500.0,bronze,0,0
373.0,1,1,0,4,0,45,500.0,bronze,0,0
373.0,1,1,0,4,0,45,500.0,bronze,0,0
373.0,1,1,0,4,0,45,500.0,bronze,0,0
375.0,1,0,0,1,0,38,500.0,bronze,0,0
500.0,0,0,0,1,0,31,280.0,free,0,0
500.0,1,1,0,1,0,51,500.0,bronze,0,0
500.0,1,0,0,1,0,27,361.0,bronze,1,1
375.0,1,0,0,1,0,13,500.0,free,0,1
500.0,0,1,0,1,0,55,375.0,bronze,0,1
250.0,0,0,0,1,0,42,250.0,free,0,0
500.0,1,1,26,6,0,32,500.0,bronze,1,1
500.0,0,1,0,1,0,57,421.0,bronze,0,1
261.0,1,1,0,1,0,48,193.0,bronze,0,1
500.0,0,0,0,1,0,34,375.0,free,0,0
500.0,1,1,0,1,0,15,375.0,bronze,0,1
375.0,1,0,0,1,0,59,500.0,bronze,0,0
495.0,1,1,0,82,0,51,384.0,bronze,1,1
500.0,0,0,0,1,0,46,375.0,free,0,1
375.0,0,0,0,1,0,56,500.0,free,0,0
375.0,0,1,0,5,0,54,500.0,bronze,0,0
500.0,1,0,0,1,0,59,375.0,free,0,0
500.0,1,0,0,1,0,51,375.0,free,1,1
421.0,1,0,0,10,0,60,500.0,bronze,0,1
500.0,0,1,0,3,0,38,375.0,bronze,0,0
500.0,0,1,0,1,0,45,375.0,bronze,0,0
300.0,1,1,0,10,0,30,300.0,bronze,1,1
500.0,0,1,0,9,0,26,360.0,bronze,0,1
392.0,1,1,0,1,0,30,500.0,bronze,1,1
375.0,0,0,0,1,0,28,500.0,free,0,0
300.0,0,1,28,9999,0,60,400.0,silver,0,1
500.0,0,1,0,1,0,47,500.0,bronze,0,1
474.0,0,1,0,1,0,60,288.0,bronze,0,1
169.0,0,0,0,1,0,52,225.0,bronze,0,0
375.0,0,0,0,1,0,57,500.0,bronze,0,0
500.0,0,0,0,1,0,39,479.0,free,0,0
374.0,1,0,0,1,0,56,499.0,free,1,1
500.0,0,1,0,1,0,29,449.0,bronze,0,0
293.0,1,0,0,10,0,49,500.0,bronze,1,0
375.0,1,0,0,1,0,48,500.0,bronze,0,0
320.0,1,0,0,1,0,57,240.0,bronze,1,0
500.0,0,0,1,499,0,36,281.0,free,0,0
375.0,0,0,1,1,0,38,500.0,bronze,0,0
500.0,0,1,0,999,0,54,464.0,bronze,0,0
500.0,1,0,0,1,0,60,375.0,bronze,0,0
242.0,1,1,4,1,0,59,500.0,bronze,0,1
333.0,0,0,0,1,0,37,500.0,silver,0,0
375.0,0,0,0,1,0,21,500.0,gold,0,0
375.0,1,0,0,1,0,52,500.0,bronze,0,0
500.0,0,0,0,1,0,55,375.0,free,0,1
154.0,0,1,0,3,0,57,327.0,bronze,0,1
375.0,1,0,0,1,0,35,500.0,free,0,1
500.0,1,1,0,20,0,36,500.0,bronze,0,1
500.0,1,0,0,1,0,56,385.0,bronze,0,1
500.0,1,1,0,1,0,57,339.0,silver,0,1
375.0,1,0,0,1,0,31,500.0,bronze,1,1
149.0,1,1,0,3,0,54,500.0,bronze,1,0
500.0,1,1,0,200,1,55,333.0,gold_special,1,1
375.0,0,0,0,1,0,17,500.0,free,0,0
400.0,1,1,0,94,0,58,400.0,bronze,1,1
468.0,1,0,0,1,0,59,500.0,bronze,0,1
225.0,1,1,0,35,0,54,225.0,bronze,0,1
500.0,0,0,0,1,0,45,375.0,free,1,0
322.0,1,1,0,1,0,49,500.0,bronze,1,1
500.0,1,0,0,1,0,58,388.0,bronze,0,0
332.0,0,1,10,4,0,57,500.0,gold,0,0
500.0,1,0,0,1,0,56,375.0,bronze,1,0
281.0,0,0,0,1,0,48,500.0,free,0,1
375.0,0,0,0,1,0,45,500.0,bronze,0,0
374.0,1,0,0,1,0,56,500.0,bronze,0,0
500.0,1,1,2,1,0,60,500.0,gold,1,1
281.0,0,1,0,1,0,33,500.0,bronze,0,1
500.0,0,1,0,1,0,59,331.0,bronze,0,0
393.0,1,1,0,1,0,51,500.0,gold,1,1
500.0,1,1,0,100,0,42,247.0,bronze,1,0
500.0,1,0,0,1,0,44,500.0,bronze,0,0
292.0,0,0,0,1,0,49,500.0,bronze,1,0
190.0,1,1,1,20,0,42,220.0,bronze,1,0
375.0,1,1,1,3,0,58,500.0,bronze,1,1
500.0,0,1,0,2,0,26,373.0,bronze,0,1
375.0,0,1,0,5,0,22,500.0,bronze,0,1
375.0,0,0,0,1,0,53,500.0,free,0,0
375.0,1,1,0,5,0,57,500.0,silver,1,0
500.0,0,1,0,1,0,16,500.0,bronze,1,1
500.0,0,0,0,1,0,52,375.0,bronze,0,0
311.0,1,1,0,11,0,56,223.0,bronze,1,1
430.0,1,1,0,1,0,48,500.0,bronze,0,0
375.0,1,1,55,7,0,54,500.0,gold,1,1
500.0,1,0,0,1,1,51,500.0,gold_special,1,0
415.0,0,1,0,100,0,23,500.0,bronze,0,0
500.0,0,0,0,1,0,60,335.0,free,0,1
500.0,0,0,0,1,0,32,281.0,free,0,0
448.0,1,1,42,3,0,60,478.0,silver,0,1
261.0,1,1,1,1,0,60,361.0,silver,1,1
500.0,1,0,0,1,0,47,375.0,free,1,0
